id,lat,lon
35116,48.594892,-1.843227
35117,48.1319727,-2.2218351
35118,48.29746,-1.518873
35119,47.9892615,-1.1243545
35120,48.1784971,-1.7339931
35121,48.246923,-1.466234
35122,48.6034951,-1.891234
35123,48.0067173,-1.84600039999998
35124,47.722478,-1.731791
35125,47.941933,-1.230696
35126,47.966161,-1.796306
35127,47.919458,-1.861566
35128,48.298382,-1.723777
35130,48.295423,-1.802047
35131,48.1277185,-1.81784270000003
35132,48.606154,-1.801747
35133,48.1292959,-2.033727
35134,48.288181,-1.866541
35135,48.2484405,-1.9482028
35136,47.9594935,-1.4983827
35137,48.319567,-1.21655
35138,48.370618,-1.14888
35139,47.9794217,-1.7261459
35140,47.85608,-1.510827
35141,48.1614,-1.29013
35142,48.412651,-1.153001
35143,48.250627,-1.997397
35144,48.244674,-1.854458
35145,47.720988,-1.8497
35146,48.250108,-1.824504
35148,48.394182,-1.699921
35149,47.978497,-1.8746468
35150,48.368224,-1.217684
35151,47.850636,-1.94404
35152,48.214118,-1.505423
35153,48.564247,-1.862812
35154,48.218354,1.342362
35155,47.8668527,-1.8851435
35156,48.3095008,-1.939422
35157,48.394381,-1.066587
35159,48.449037,-1.726288
35160,47.937448,-2.079304
35161,48.048393,-1.331843
35162,48.479781,-1.124075
35163,48.284698,-1.11723
35164,48.385553,-1.604002
35165,47.949579,-1.360881
35166,48.141448,-1.339848
35167,47.831395,-1.317591
35168,47.890954,-1.986499
35169,47.982539,-2.034337
35170,48.237365,-1.302683
35171,48.267981,-2.067183
35172,48.411874,-1.815008
35173,48.2162832,-1.6973015
35174,48.488243,-1.189895
35175,47.897827,-1.968349
35176,47.824797,-1.806687
35177,48.219431,-1.753986
35178,48.260177,-1.398874
35179,48.515142,-1.899414
35180,48.284351,-1.930926
35181,48.575959,-2.012063
35183,48.081824,-1.095883
35184,48.19966,-2.04969
35185,48.203641,-1.148745
35186,48.569941,-1.768831
35187,48.066211,-1.979069
35188,48.141303,-1.960687
35189,48.155974,-1.716206
35190,48.510955,-1.181556
35191,48.4420934,-1.3085174
35192,48.246872,-1.223486
35193,48.247207,-1.728685
35194,48.1498231,-1.2405718
35195,48.3071724,-1.6713003
35196,48.073329,-1.847476
35197,48.232024,-1.607829
35198,48.001651,-1.371529
35199,47.9234741,-1.2696521
35200,47.9690919,-1.2720225
35201,48.127683,-2.157235
35202,47.802637,-1.7416264
35203,48.16225,-1.976886
35204,48.041783,-1.546434
35205,48.413299,-1.624132
35206,48.042581,-1.661867
35207,48.114179,-1.524207
35208,47.995581,-1.667544
35210,48.146697,-1.772732
35211,48.0196614,-2.1722963
35212,47.882579,-1.662665
35214,48.273232,-1.201638
35215,48.4264876,-1.4568386
35216,48.191818,-1.83159
35217,48.0347595,-1.0367746
35218,47.927122,-1.608326
35219,47.808843,-1.946275
35220,48.01162,-1.424402
35221,47.8957408,-1.750545
35222,48.53367,-1.563607
35223,48.002441,-2.097265
35224,48.526735,-1.848805
35225,48.413635,-1.923461
35226,48.397366,-1.903851
35227,48.183463,-1.919172
35228,48.57859,2.061498
35229,48.115392,-1.249575
35230,48.47401,-1.251176
35231,47.887059,-1.684892
35232,48.21819,-1.088176
35233,48.34445,-1.826991
35234,48.249363,-2.141253
35235,47.923112,-1.241695
35236,47.650908,-2.083836
35237,47.719541,-1.975478
35238,48.111346,-1.680064
35239,47.9124938,-1.3786806
35240,48.101097,-1.795384
35241,48.606629,-2.03432
35242,48.400352,-1.51167
35243,48.342397,-1.2762
35244,48.376008,-1.497211
